"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26083","verify bulk upload functionality for master data creation","chromium","Thu Nov 20 15:29:30 EET 2025","passed","Thu Nov 20 15:29:56 EET 2025","End-to-End Flow","Cloud-e2e-scenarios.spec.ts","",""
"","90255","verify add and delete CrewSchedule","chromium","Thu Nov 20 15:29:18 EET 2025","broken","Thu Nov 20 15:30:48 EET 2025","CrewSchedule","CrewSchedule.spec.ts","",""
"","21299","verify update ProductConfig","chromium","Thu Nov 20 15:31:51 EET 2025","passed","Thu Nov 20 15:32:12 EET 2025","ProductConfig","ProductConfig.spec.ts","",""
"","30131","verify add DownTimeConfig","chromium","Thu Nov 20 15:29:18 EET 2025","passed","Thu Nov 20 15:29:48 EET 2025","DownTimeConfig","DownTimeConfig.spec.ts","",""
"","40930","verify delete CrewSchedule","chromium","Thu Nov 20 15:31:47 EET 2025","failed","Thu Nov 20 15:32:28 EET 2025","CrewSchedule","CrewSchedule.spec.ts","",""
"","23072","Delete machine from department","chromium","Thu Nov 20 15:31:10 EET 2025","passed","Thu Nov 20 15:31:33 EET 2025","Machine Details Tests","MachineDetails.spec.ts","",""
"","34315","verify add ParameterSpecifications","chromium","Thu Nov 20 15:31:33 EET 2025","passed","Thu Nov 20 15:32:07 EET 2025","ParameterSpecifications","ParameterSpecifications.spec.ts","",""
"","39750","verify add OEEConfig","chromium","Thu Nov 20 15:31:14 EET 2025","passed","Thu Nov 20 15:31:54 EET 2025","OEEConfig","OEEConfig.spec.ts","",""
"","16023","verify add CheckListType","chromium","Thu Nov 20 15:29:18 EET 2025","failed","Thu Nov 20 15:29:34 EET 2025","CheckListType","CheckListType.spec.ts","",""
"","21661","verify delete WasteConfig","chromium","Thu Nov 20 15:33:09 EET 2025","failed","Thu Nov 20 15:33:31 EET 2025","WasteConfig Tests","WasteConfig.spec.ts","",""
"","40882","Add new Machine Parameter with dynamic data","chromium","Thu Nov 20 15:30:30 EET 2025","passed","Thu Nov 20 15:31:11 EET 2025","Machine Parameters Tests","MachineParameter.spec.ts","",""
"","18662","verify update WasteConfig","chromium","Thu Nov 20 15:32:51 EET 2025","passed","Thu Nov 20 15:33:09 EET 2025","WasteConfig Tests","WasteConfig.spec.ts","",""
"","22408","verify delete CheckListType","chromium","Thu Nov 20 15:30:06 EET 2025","failed","Thu Nov 20 15:30:28 EET 2025","CheckListType","CheckListType.spec.ts","",""
"","90150","verify update ParameterSpecifications","chromium","Thu Nov 20 15:32:09 EET 2025","broken","Thu Nov 20 15:33:39 EET 2025","ParameterSpecifications","ParameterSpecifications.spec.ts","",""
"","90503","verify update ChecklistConfig","chromium","Thu Nov 20 15:29:36 EET 2025","broken","Thu Nov 20 15:31:06 EET 2025","ChecklistConfig","ChecklistConfig.spec.ts","",""
"","11362","verify get the plant license key","chromium","Thu Nov 20 15:29:18 EET 2025","passed","Thu Nov 20 15:29:29 EET 2025","End-to-End Flow","Cloud-e2e-scenarios.spec.ts","",""
"","17902","verify add ChecklistConfig","chromium","Thu Nov 20 15:29:18 EET 2025","passed","Thu Nov 20 15:29:36 EET 2025","ChecklistConfig","ChecklistConfig.spec.ts","",""
"","13077","verify delete UserConfig","chromium","Thu Nov 20 15:32:49 EET 2025","passed","Thu Nov 20 15:33:02 EET 2025","UserConfig","UserConfig.spec.ts","",""
"","15775","verify add UserConfig","chromium","Thu Nov 20 15:32:17 EET 2025","passed","Thu Nov 20 15:32:33 EET 2025","UserConfig","UserConfig.spec.ts","",""
"","7041","verify Signup with missing required fields Company Info","chromium","Thu Nov 20 15:33:29 EET 2025","passed","Thu Nov 20 15:33:36 EET 2025","Signup TestCases","SignupTest.spec.ts","",""
"","23997","Delete Machine Parameter with dynamic data","chromium","Thu Nov 20 15:31:53 EET 2025","passed","Thu Nov 20 15:32:17 EET 2025","Machine Parameters Tests","MachineParameter.spec.ts","",""
"","18330","verify add ProductConfig","chromium","Thu Nov 20 15:31:33 EET 2025","passed","Thu Nov 20 15:31:51 EET 2025","ProductConfig","ProductConfig.spec.ts","",""
"","16926","verify add WasteConfig","chromium","Thu Nov 20 15:32:33 EET 2025","passed","Thu Nov 20 15:32:50 EET 2025","WasteConfig Tests","WasteConfig.spec.ts","",""
"","90142","should successfully sign up with a valid company and plant data","chromium","Thu Nov 20 15:31:46 EET 2025","broken","Thu Nov 20 15:33:16 EET 2025","Signup TestCases","SignupTest.spec.ts","",""
